mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.9812523523966471,0.0269007575620265,0.00694425900777181,0.001071399798829331,0.6,300,10,6,0.05,2,1.0,5,"{'subsample': 0.6, 'n_estimators': 300, 'min_child_weight': 10, 'max_depth': 6, 'learning_rate': 0.05, 'gamma': 2, 'colsample_bytree': 1.0, 'alpha': 5}",-12.895018995655827,-13.171583448778977,-13.509845180374189,-13.192149208269663,0.2514226484115357,2906
1.024239142735799,0.0156272142290698,0.005290985107421875,0.00023383073579647743,0.4,600,10,3,0.01,2,0.8,1,"{'subsample': 0.4, 'n_estimators': 600, 'min_child_weight': 10, 'max_depth': 3, 'learning_rate': 0.01, 'gamma': 2, 'colsample_bytree': 0.8, 'alpha': 1}",-17.79472138140502,-18.186838034595684,-19.071296800664907,-18.350952072221872,0.5339233798178141,7526
0.6752206484476725,0.018475767226378084,0.006117582321166992,0.0009353229431859097,1.0,300,5,5,0.5,0.5,0.6,0.5,"{'subsample': 1.0, 'n_estimators': 300, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.5, 'gamma': 0.5, 'colsample_bytree': 0.6, 'alpha': 0.5}",-12.407842143350098,-13.248164603672995,-13.42654225112249,-13.027516332715194,0.44418593854478744,1608
0.21956237157185873,0.01180243041780709,0.003968238830566406,0.00040490934570543055,0.4,100,10,4,0.1,5,0.8,1.5,"{'subsample': 0.4, 'n_estimators': 100, 'min_child_weight': 10, 'max_depth': 4, 'learning_rate': 0.1, 'gamma': 5, 'colsample_bytree': 0.8, 'alpha': 1.5}",-14.884282205367708,-15.250203579284188,-15.69529816731534,-15.276594650655744,0.3316213595046462,6617
0.31099144617716473,0.0010713262263116793,0.0042989253997802734,0.00023383073579647743,0.4,100,5,6,0.05,5,0.8,0,"{'subsample': 0.4, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 6, 'learning_rate': 0.05, 'gamma': 5, 'colsample_bytree': 0.8, 'alpha': 0}",-14.498179260709312,-14.836592133798685,-15.309459422036289,-14.881410272181428,0.3327164700729961,6287
0.24766874313354492,0.006559420165605462,0.004629453023274739,0.0006187004033271191,0.4,100,5,6,0.05,5,0.4,0.5,"{'subsample': 0.4, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 6, 'learning_rate': 0.05, 'gamma': 5, 'colsample_bytree': 0.4, 'alpha': 0.5}",-15.595523656471467,-15.93098090027698,-17.526917276629238,-16.351140611125896,0.8426034915514404,6964
0.9154499371846517,0.00230281711576271,0.00611726442972819,0.0009353791035296214,0.8,600,5,3,0.2,1.5,0.6,5,"{'subsample': 0.8, 'n_estimators': 600, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.2, 'gamma': 1.5, 'colsample_bytree': 0.6, 'alpha': 5}",-12.685721061030833,-13.073355852550113,-13.388722281880192,-13.049266398487047,0.28750409327719695,1815
0.25461268424987793,0.0004678300285962926,0.004959901173909505,0.0007010988030550908,1.0,100,1,7,0.01,0.5,0.4,0,"{'subsample': 1.0, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 7, 'learning_rate': 0.01, 'gamma': 0.5, 'colsample_bytree': 0.4, 'alpha': 0}",-63.61393762582175,-64.63244412301538,-66.45989020988382,-64.90209065290698,1.177396411860888,8425
1.5209004878997803,0.016605904183833484,0.012730598449707031,0.0026964481263046943,1.0,600,5,6,0.05,5,0.6,5,"{'subsample': 1.0, 'n_estimators': 600, 'min_child_weight': 5, 'max_depth': 6, 'learning_rate': 0.05, 'gamma': 5, 'colsample_bytree': 0.6, 'alpha': 5}",-12.40342864255912,-12.843602856799162,-13.175986896663625,-12.80767279867397,0.3164172254096479,126
0.5532045364379883,0.020234215915888115,0.004959980646769206,2.9736021254650284e-07,1.0,300,1,4,0.2,2,1.0,1,"{'subsample': 1.0, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.2, 'gamma': 2, 'colsample_bytree': 1.0, 'alpha': 1}",-12.174772581059358,-13.131975054043114,-13.165424894401498,-12.824057509834658,0.45931682022039283,169
1.5242067972819011,0.0033150512033069735,0.012565692265828451,0.0026038993027299446,0.6,600,1,6,0.1,2,0.4,1,"{'subsample': 0.6, 'n_estimators': 600, 'min_child_weight': 1, 'max_depth': 6, 'learning_rate': 0.1, 'gamma': 2, 'colsample_bytree': 0.4, 'alpha': 1}",-12.574691687248007,-13.021158654625536,-13.407940670547607,-13.001263670807049,0.3404632381802841,1401
0.14284777641296387,0.001855591455452862,0.003141323725382487,0.00023388699234912392,0.8,100,10,3,0.1,1,0.4,1.5,"{'subsample': 0.8, 'n_estimators': 100, 'min_child_weight': 10, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 1, 'colsample_bytree': 0.4, 'alpha': 1.5}",-17.033955473541482,-17.642274350943186,-18.45083831369462,-17.709022712726426,0.5803623888173473,7339
