mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.4257328510284424,0.016718861137292835,0.005290985107421875,0.00023366220923500005,0,0.4,0.5,0.02,3,5,300,0.7,"{'alpha': 0, 'colsample_bytree': 0.4, 'gamma': 0.5, 'learning_rate': 0.02, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 300, 'subsample': 0.7}",-18.406509087652328,-18.87535830756021,-19.932892244555287,-19.071586546589273,0.6384045356791658,7706
0.3834070364634196,0.013680068380821446,0.004298766454060872,0.0002342241670205902,0,0.4,0.5,0.02,3,5,300,1.0,"{'alpha': 0, 'colsample_bytree': 0.4, 'gamma': 0.5, 'learning_rate': 0.02, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 300, 'subsample': 1.0}",-18.358016167987234,-18.842117371804466,-19.440232164415125,-18.880121901402276,0.4426293588195932,7673
0.8433651924133301,0.005689180576950691,0.006613492965698242,0.001019631295599422,0,0.4,0.5,0.02,3,5,600,0.4,"{'alpha': 0, 'colsample_bytree': 0.4, 'gamma': 0.5, 'learning_rate': 0.02, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 600, 'subsample': 0.4}",-16.675811338309067,-16.836121630882367,-17.467379136787958,-16.993104035326464,0.34168943147832065,7326
0.842041810353597,0.009058613405402033,0.006448268890380859,0.0012154093866498601,0,0.4,0.5,0.02,3,5,600,0.7,"{'alpha': 0, 'colsample_bytree': 0.4, 'gamma': 0.5, 'learning_rate': 0.02, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 600, 'subsample': 0.7}",-16.555052801767058,-16.79603961392166,-17.372425266691803,-16.907839227460173,0.3429273993085698,7246
0.741519053777059,0.008426852564568795,0.005456288655598958,2.247831920581015e-07,0,0.4,0.5,0.02,3,5,600,1.0,"{'alpha': 0, 'colsample_bytree': 0.4, 'gamma': 0.5, 'learning_rate': 0.02, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 600, 'subsample': 1.0}",-16.55856434716374,-16.89738852130878,-17.35293098246551,-16.936294616979342,0.32546361909375693,7265
0.14532756805419922,0.003905440194139123,0.0034721692403157554,2.247831920581015e-07,0,0.4,0.5,0.02,3,10,100,0.4,"{'alpha': 0, 'colsample_bytree': 0.4, 'gamma': 0.5, 'learning_rate': 0.02, 'max_depth': 3, 'min_child_weight': 10, 'n_estimators': 100, 'subsample': 0.4}",-32.771117819444,-34.48302003302313,-36.89596675941274,-34.71670153729329,1.6920500344195448,8713
0.1405332088470459,0.001169153581743808,0.003802696863810221,0.0004677177180251049,0,0.4,0.5,0.02,3,10,100,0.7,"{'alpha': 0, 'colsample_bytree': 0.4, 'gamma': 0.5, 'learning_rate': 0.02, 'max_depth': 3, 'min_child_weight': 10, 'n_estimators': 100, 'subsample': 0.7}",-32.850761203747304,-34.52788952769281,-36.6508917990722,-34.676514176837436,1.5549523251279245,8682
0.12383389472961426,0.0018711514890212217,0.0036373138427734375,0.00023383073579647743,0,0.4,0.5,0.02,3,10,100,1.0,"{'alpha': 0, 'colsample_bytree': 0.4, 'gamma': 0.5, 'learning_rate': 0.02, 'max_depth': 3, 'min_child_weight': 10, 'n_estimators': 100, 'subsample': 1.0}",-32.86872810020171,-33.952517280977936,-35.856236965687195,-34.22582744895561,1.234861973738654,8665
0.4252370198567708,0.0023026516592120597,0.0046291351318359375,0.00046749285381550833,0,0.4,0.5,0.02,3,10,300,0.4,"{'alpha': 0, 'colsample_bytree': 0.4, 'gamma': 0.5, 'learning_rate': 0.02, 'max_depth': 3, 'min_child_weight': 10, 'n_estimators': 300, 'subsample': 0.4}",-18.459720226688084,-19.00941959206275,-20.57975859394939,-19.34963280423341,0.8983130270926734,7772
0.4247409502665202,0.006583956458840753,0.004298845926920573,0.00046771763700269667,0,0.4,0.5,0.02,3,10,300,0.7,"{'alpha': 0, 'colsample_bytree': 0.4, 'gamma': 0.5, 'learning_rate': 0.02, 'max_depth': 3, 'min_child_weight': 10, 'n_estimators': 300, 'subsample': 0.7}",-18.44352376331187,-18.832843337013916,-20.120389604566647,-19.132252234964145,0.7165677583781362,7736
0.3749755223592122,0.0026554204972805582,0.004464070002237956,0.0004050066835814249,0,0.4,0.5,0.02,3,10,300,1.0,"{'alpha': 0, 'colsample_bytree': 0.4, 'gamma': 0.5, 'learning_rate': 0.02, 'max_depth': 3, 'min_child_weight': 10, 'n_estimators': 300, 'subsample': 1.0}",-18.36896981045514,-18.894077515078383,-19.55230147036723,-18.938449598633582,0.4841109485003391,7693
0.8549373944600424,0.003298173875311808,0.005952119827270508,0.0007013235592212767,0,0.4,0.5,0.02,3,10,600,0.4,"{'alpha': 0, 'colsample_bytree': 0.4, 'gamma': 0.5, 'learning_rate': 0.02, 'max_depth': 3, 'min_child_weight': 10, 'n_estimators': 600, 'subsample': 0.4}",-16.741632595453392,-16.927578516436867,-17.92791016727161,-17.19904042638729,0.5209493230409137,7336
0.8436952431996664,0.011575407601163129,0.005455732345581055,1.9466795466607238e-07,0,0.4,0.5,0.02,3,10,600,0.7,"{'alpha': 0, 'colsample_bytree': 0.4, 'gamma': 0.5, 'learning_rate': 0.02, 'max_depth': 3, 'min_child_weight': 10, 'n_estimators': 600, 'subsample': 0.7}",-16.62374613361436,-16.83415875392981,-17.504875686183986,-16.987593524576052,0.37572507123812027,7320
0.742180585861206,0.007990573309597694,0.005786577860514323,0.00046754920158408655,0,0.4,0.5,0.02,3,10,600,1.0,"{'alpha': 0, 'colsample_bytree': 0.4, 'gamma': 0.5, 'learning_rate': 0.02, 'max_depth': 3, 'min_child_weight': 10, 'n_estimators': 600, 'subsample': 1.0}",-16.57411994298086,-16.908335847154884,-17.364875286864557,-16.9491103590001,0.32410947130284773,7284
0.20385527610778809,0.0021430203640537336,0.003968000411987305,3.371747880871523e-07,0,0.4,0.5,0.02,5,1,100,0.4,"{'alpha': 0, 'colsample_bytree': 0.4, 'gamma': 0.5, 'learning_rate': 0.02, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 100, 'subsample': 0.4}",-30.397576951608606,-31.68439917017323,-34.19681560782469,-32.09293057653551,1.5777044556802358,8390
